FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS, LATITUDE,LONGITUDE,OWNER_CODE, OWNER_DESCR, STATE,COUNTY,FIPS_CODE, FIPS_NAME, Shape,DISCOVERY_DATE,CONT_DATE
2018,1314.00,F,,,,,,,,San Benito,,6/4/2018,6/14/2018
2018,4653.00,G,,,,,,,,Tulare,,10/4/2018,12/7/2018
2018,2956.00,F,,,,,,,,Tehama,,6/9/2018,6/14/2018
2018,6974.00,G,,,,,,,,Mono,,9/4/2018,9/15/2018
2018,4700.00,F,,,,,,,,Solano,,10/7/2018,11/9/2018
2018,1200.00,F,,,,,,,,Sutter,,7/31/2018,8/3/2018
2018,153336.00,G,,,,,,,,Butte,,11/8/2018,11/25/2018
2018,229651.00,G,,,,,,,,Shasta,,7/23/2018,8/30/2018
2018,3380.00,F,,,,,,,,Los Angeles,,9/22/2018,10/1/2018
2018,2290.00,F,,,,,,,,Glenn,,6/9/2018,6/21/2018
2018,90288.00,G,,,,,,,,"Lake, Napa, Yolo",,6/30/2018,7/14/2018
2018,13139.00,G,,,,,,,,Riverside,,7/26/2018,8/10/2018
2018,1678.00,F,,,,,,,,Madera,,6/24/2018,7/5/2018
2018,63311.00,G,,,,,,,,Shasta,,9/5/2018,10/7/2018
2018,36450.00,G,,,,,,,,Tuolumne,,8/1/2018,10/1/2018
2018,2100.00,F,,,,,,,,Modoc,,7/13/2018,7/17/2018
2018,1777.00,F,,,,,,,,Tulare,,10/4/2018,12/7/2018
2018,96901.00,G,,,,,,,,Mariposa,,7/13/2018,8/18/2018
2018,2995.00,F,,,,,,,,Kings,,8/6/2018,8/8/2018
2018,1014.00,F,,,,,,,,"San Luis Obispo, Santa Barbara",,8/19/2018,8/29/2018
2018,2883.00,F,,,,,,,,Inyo,,7/8/2018,7/18/2018
2018,1900.00,F,,,,,,,,Shasta,,8/9/2018,8/16/2018
2018,4531.00,G,,,,,,,,Ventura,,11/8/2018,11/15/2018
2018,46150.00,G,,,,,,,,Shasta,,8/9/2018,9/12/2018
2018,113.00,E,,,,,,,,Santa Barbara,,7/6/2018,7/11/2018
2018,23136.00,G,,,,,,,,"Orange, Riverside",,8/6/2018,9/13/2018
2018,1751.00,F,,,,,,,,Trinity,,9/4/2018,9/17/2018
2018,38008.00,G,,,,,,,,Siskiyou,,7/5/2018,7/16/2018
2018,3716.00,F,,,,,,,,Tehama,,6/23/2018,7/4/2018
2018,13347.00,G,,,,,,,,Madera,,6/11/2018,10/1/2018
2018,459123.00,G,,,,,,,,"Mendocino, Lake, Colusa, Glenn",,7/27/2018,9/18/2018
2018,3674.00,F,,,,,,,,Humboldt,,8/16/2018,8/30/2018
2018,1265.00,F,,,,,,,,Inyo,,4/19/2018,5/21/2018
2018,1270.00,F,,,,,,,,Tulare,,10/13/2018,12/7/2018
2018,38134.00,G,,,,,,,,"Del Norte, Siskiyou",,7/15/2018,10/30/2018
2018,1756.00,F,,,,,,,,Merced,,5/2/2018,5/17/2018
2018,2162.00,F,,,,,,,,Solano,,8/10/2018,8/12/2018
2018,1120.00,F,,,,,,,,Placer,,9/3/2018,9/16/2018
2018,1500.00,F,,,,,,,,Solano,,11/8/2018,11/27/2018
2018,64.00,D,,,,,,,,San Benito,,6/4/2018,6/7/2018
2018,1261.00,G,,,,,,,,Riverside,,5/17/2018,5/21/2018
2018,15185.00,G,,,,,,,,Lake,,6/23/2018,7/8/2018
2018,1000.00,F,,,,,,,,San Diego,,8/5/2018,8/6/2018
2018,1800.00,F,,,,,,,,San Diego,,7/6/2018,7/11/2018
2018,4564.00,F,,,,,,,,Merced,,6/15/2018,6/21/2018
2018,2070.00,F,,,,,,,,Inyo,,2/18/2018,4/3/2018
2018,2490.00,F,,,,,,,,Napa,,9/8/2018,9/15/2018
2018,1352.00,F,,,,,,,,Los Angeles,,6/4/2018,6/13/2018
2018,39387.00,G,,,,,,,,Modoc,,8/15/2018,8/29/2018
2018,3889.00,F,,,,,,,,Tehama,,10/7/2018,10/12/2018
2018,2950.00,F,,,,,,,,Kern,,8/3/2018,8/6/2018
2018,2225.00,F,,,,,,,,Monterey,,8/6/2018,8/6/2018
2018,1350.00,F,,,,,,,,San Bernardino,,7/6/2018,10/22/2018
2018,12300.00,G,,,,,,,,San Joaquin,,6/29/2018,7/2/2018
2018,504.00,E,,,,,,,,San Diego,,7/6/2018,7/11/2018
2018,18703.00,G,,,,,,,,Lassen,,7/27/2018,8/7/2018
2018,96949.00,G,,,,,,,,"Los Angeles, Ventura",,11/8/2018,11/22/2018
2018,1500.00,F,,,,,,,,San Luis Obispo,,6/20/2018,7/1/2018
2018,0.00,A,,,,,,,,Santa Clara,,9/26/2016,10/12/2016
2018,0.00,B,,,,,,,,Santa Clara,,9/26/2016,10/12/2016
2018,0.00,C,,,,,,,,Santa Clara,,9/26/2016,10/12/2016
2018,0.00,D,,,,,,,,Santa Clara,,9/26/2016,10/12/2016
2018,0.00,E,,,,,,,,Santa Clara,,9/26/2016,10/12/2016
2018,0.00,F,,,,,,,,Santa Clara,,9/26/2016,10/12/2016
