FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS, LATITUDE,LONGITUDE,OWNER_CODE, OWNER_DESCR, STATE,COUNTY,FIPS_CODE, FIPS_NAME, Shape,DISCOVERY_DATE,CONT_DATE,Burn_Days
2016,3712,F,,,,,,,,San Luis Obispo,,5/18/2016,5/20/2016,2
2016,3876,F,,,,,,,,Monterey,,5/22/2016,5/25/2016,3
2016,2520,F,,,,,,,,Monterey,,6/4/2016,6/17/2016,13
2016,2860,F,,,,,,,,Siskiyou,,6/7/2016,6/30/2016,23
2016,7474,G,,,,,,,,Santa Barbara,,6/15/2016,7/12/2016,27
2016,7609,G,,,,,,,,San Diego,,6/19/2016,6/30/2016,11
2016,2304,F,,,,,,,,Ventura,,6/19/2016,7/17/2016,28
2016,5399,G,,,,,,,,Los Angeles,,6/20/2016,7/23/2016,33
2016,48019,G,,,,,,,,Kern,,6/23/2016,7/12/2016,19
2016,5646,G,,,,,,,,Placer,,6/28/2016,7/18/2016,20
2016,1785,F,,,,,,,,Kern,,7/1/2016,7/11/2016,10
2016,2944,F,,,,,,,,Fresno,,7/1/2016,7/5/2016,4
2016,1109,F,,,,,,,,Los Angeles,,7/9/2016,7/16/2016,7
2016,1245,F,,,,,,,,San Diego,,7/21/2016,7/30/2016,9
2016,41432,G,,,,,,,,Los Angeles,,7/22/2016,8/3/2016,12
2016,132100,G,,,,,,,,Monterey,,7/22/2016,10/12/2016,82
2016,2241,F,,,,,,,,Fresno,,7/30/2016,8/9/2016,10
2016,5731,G,,,,,,,,Yolo,,8/2/2016,8/12/2016,10
2016,8110,G,,,,,,,,San Bernardino,,8/7/2016,8/16/2016,9
2016,7050,G,,,,,,,,Fresno,,8/9/2016,8/18/2016,9
2016,46344,G,,,,,,,,San Luis Obispo,,8/13/2016,9/6/2016,24
2016,3929,G,,,,,,,,Lake,,8/13/2016,8/26/2016,13
2016,36274,G,,,,,,,,San Bernardino,,8/16/2016,8/23/2016,7
2016,29322,G,,,,,,,,Kern,,8/16/2016,9/30/2016,45
2016,32606,G,,,,,,,,Santa Barbara,,8/18/2016,9/16/2016,29
2016,33867,G,,,,,,,,Siskiyou,,8/27/2016,9/17/2016,21
2016,1470,F,,,,,,,,Riverside,,8/30/2016,9/2/2016,3
2016,2575,F,,,,,,,,Lassen,,9/11/2016,9/22/2016,11
2016,5443,G,,,,,,,,Mono,,9/17/2016,10/15/2016,28
2016,12518,G,,,,,,,,Santa Barbara,,9/17/2016,9/24/2016,7
2016,1547,F,,,,,,,,Sonoma,,9/25/2016,9/29/2016,4
2016,1080,F,,,,,,,,Tuolumne,,9/26/2016,10/4/2016,8
2016,4474,F,,,,,,,,Santa Clara,,9/26/2016,10/12/2016,16
