FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS, LATITUDE,LONGITUDE,OWNER_CODE, OWNER_DESCR, STATE,COUNTY,FIPS_CODE, FIPS_NAME, Shape,DISCOVERY_DATE,CONT_DATE,Burn_Days
2017,5738,G,,,,,,,,Fresno,,4/20/2017,4/21/2017,1
2017,1350,F,,,,,,,,Riverside,,4/30/2017,5/2/2017,2
2017,10345,G,,,,,,,,Fresno,,5/18/2017,5/21/2017,3
2017,2056,F,,,,,,,,San Diego,,5/20/2017,5/23/2017,3
2017,1431,F,,,,,,,,Madera,,6/10/2017,6/13/2017,3
2017,1522,F,,,,,,,,Kern,,6/18/2017,6/28/2017,10
2017,1503,F,,,,,,,,San Bernardino,,6/19/2017,6/29/2017,10
2017,16031,G,,,,,,,,Tulare,,6/24/2017,8/10/2017,47
2017,65888,G,,,,,,,,Siskiyou,,6/25/2017,12/8/2017,166
2017,6309,G,,,,,,,,Riverside,,6/26/2017,6/30/2017,4
2017,1598,F,,,,,,,,San Luis Obispo,,6/26/2017,6/30/2017,4
2017,2269,F,,,,,,,,Yolo,,7/6/2017,7/12/2017,6
2017,28687,G,,,,,,,,San Luis Obispo,,7/6/2017,7/19/2017,13
2017,6033,G,,,,,,,,Butte,,7/7/2017,7/17/2017,10
2017,18430,G,,,,,,,,Santa Barbara,,7/8/2017,10/5/2017,89
2017,1816,F,,,,,,,,Monterey,,7/8/2017,7/11/2017,3
2017,48889,G,,,,,,,,Fresno,,7/9/2017,7/21/2017,12
2017,83733,G,,,,,,,,Lassen,,7/11/2017,7/21/2017,10
2017,81826,G,,,,,,,,Mariposa,,7/16/2017,8/24/2017,39
2017,83120,G,,,,,,,,Modoc,,7/24/2017,8/16/2017,23
2017,27276,G,,,,,,,,Siskiyou,,7/25/2017,9/26/2017,63
2017,6370,G,,,,,,,,Mariposa,,8/1/2017,11/27/2017,118
2017,7697,G,,,,,,,,Modoc,,8/3/2017,8/29/2017,26
2017,2500,F,,,,,,,,Siskiyou,,8/7/2017,8/28/2017,21
2017,7000,G,,,,,,,,Mariposa,,8/13/2017,11/27/2017,106
2017,1044,F,,,,,,,,Riverside,,8/13/2017,8/16/2017,3
2017,78698,G,,,,,,,,Siskiyou,,8/15/2017,11/29/2017,106
2017,36556,G,,,,,,,,Tulare,,8/29/2017,11/29/2017,92
2017,12407,G,,,,,,,,Madera,,8/29/2017,10/24/2017,56
2017,4016,G,,,,,,,,Butte,,8/29/2017,9/9/2017,11
2017,6042,G,,,,,,,,Lassen,,8/29/2017,9/1/2017,3
2017,8925,G,,,,,,,,Mono,,8/29/2017,9/12/2017,14
2017,21846,G,,,,,,,,Trinity,,8/30/2017,11/15/2017,77
2017,7194,G,,,,,,,,Los Angeles,,9/1/2017,9/9/2017,8
2017,3874,F,,,,,,,,Riverside,,9/2/2017,9/6/2017,4
2017,1035,F,,,,,,,,Madera,,9/3/2017,9/13/2017,10
2017,13417,G,,,,,,,,Trinity,,9/12/2017,11/20/2017,69
2017,18900,G,,,,,,,,Tulare,,9/24/2017,12/2/2017,69
2017,2662,F,,,,,,,,Riverside,,9/25/2017,10/4/2017,9
2017,8417,G,,,,,,,,Butte,,10/8/2017,10/16/2017,8
2017,51624,G,,,,,,,,Napa,,10/8/2017,10/31/2017,23
2017,36807,G,,,,,,,,Napa,,10/8/2017,10/31/2017,23
2017,56556,G,,,,,,,,Sonoma,,10/8/2017,10/30/2017,22
2017,36523,G,,,,,,,,Mendocino,,10/8/2017,10/28/2017,20
2017,6151,G,,,,,,,,Butte,,10/9/2017,10/18/2017,9
2017,9989,G,,,,,,,,Yuba,,10/9/2017,10/18/2017,9
2017,2207,F,,,,,,,,Lake,,10/9/2017,10/26/2017,17
2017,9217,G,,,,,,,,Orange,,10/9/2017,10/18/2017,9
2017,1660,F,,,,,,,,Sonoma,,10/9/2017,10/13/2017,4
2017,17357,G,,,,,,,,Sonoma,,10/9/2017,10/31/2017,22
2017,821,E,,,,,,,,Nevada,,10/9/2017,10/18/2017,9
2017,391,E,,,,,,,,Santa Cruz,,10/16/2017,10/27/2017,11
2017,1088,F,,,,,,,,San Diego,,10/17/2017,11/14/2017,28
2017,866,E,,,,,,,,Riverside,,10/27/2017,10/29/2017,2
2017,281893,G,,,,,,,,Ventura,,12/4/2017,1/12/2018,39
2017,15619,G,,,,,,,,Los Angeles,,12/5/2017,1/9/2018,35
2017,6049,G,,,,,,,,Los Angeles,,12/5/2017,12/12/2017,7
2017,260,E,,,,,,,,San Bernardino,,12/5/2017,12/7/2017,2
2017,422,E,,,,,,,,Los Angeles,,12/6/2017,12/15/2017,9
2017,4100,G,,,,,,,,San Diego,,12/7/2017,12/16/2017,9
2017,300,E,,,,,,,,Riverside,,12/7/2017,12/9/2017,2
